Plane,Distance
Green (Tail Spin),98
Green (Tail Spin),107
Red (Basic),74.5
Red (Basic),59
Blue (Water Plane),77
Red (Basic),15
Blue (Water Plane),17
Orange (Dart),360
Orange (Dart),124
Orange (Dart),197
Green (Tail Spin),19
Blue (Water Plane),86
Green (Tail Spin),209.5
Red (Basic),83
Orange (Dart),159
Blue (Water Plane),159
Green (Tail Spin),474
Orange (Dart),170
Red (Basic),105
Orange (Dart),127
Orange (Dart),36
Green (Tail Spin),162
Blue (Water Plane),71
Red (Basic),86
Green (Tail Spin),215
Red (Basic),83
Orange (Dart),45
Blue (Water Plane),5
Red (Basic),76
Red (Basic),125
Blue (Water Plane),92
Green (Tail Spin),71
Green (Tail Spin),37
Blue (Water Plane),23.5
Orange (Dart),222
Blue (Water Plane),59
Green (Tail Spin),190
Green (Tail Spin),44
Green (Tail Spin),252
Red (Basic),92
Orange (Dart),268
Red (Basic),46
Blue (Water Plane),41
Orange (Dart),225
Red (Basic),105
Green (Tail Spin),169
Blue (Water Plane),29
Orange (Dart),241
Red (Basic),66
Green (Tail Spin),294
Blue (Water Plane),24
Blue (Water Plane),129
Green (Tail Spin),138
Red (Basic),128
Orange (Dart),126
Blue (Water Plane),19
Green (Tail Spin),120
Orange (Dart),203
Green (Tail Spin),79
Green (Tail Spin),85
Red (Basic),58
Red (Basic),107
Blue (Water Plane),94
Red (Basic),59
Blue (Water Plane),24
Orange (Dart),230
Orange (Dart),163
Orange (Dart),235
Green (Tail Spin),16
Blue (Water Plane),59
Green (Tail Spin),166
Red (Basic),73
Orange (Dart),130
Blue (Water Plane),181
Green (Tail Spin),338
Orange (Dart),260
Red (Basic),105
Orange (Dart),163
Orange (Dart),42
Green (Tail Spin),175
Blue (Water Plane),21
Red (Basic),124
Green (Tail Spin),227
Red (Basic),109
Orange (Dart),76
Blue (Water Plane),50
Red (Basic),53.5
Red (Basic),64
Blue (Water Plane),5
Green (Tail Spin),36
Green (Tail Spin),60
Blue (Water Plane),17.5
Orange (Dart),156
Blue (Water Plane),77
Green (Tail Spin),230
Green (Tail Spin),90
Green (Tail Spin),255
Red (Basic),78
Orange (Dart),278
Red (Basic),38
Blue (Water Plane),73
Orange (Dart),228
Red (Basic),97
Green (Tail Spin),196
Blue (Water Plane),52
Orange (Dart),132
Red (Basic),78
Green (Tail Spin),202
Blue (Water Plane),120
Blue (Water Plane),84
Green (Tail Spin),135
Red (Basic),34
Orange (Dart),57
Blue (Water Plane),44
Green (Tail Spin),198
Orange (Dart),223
