Car,Mileage,Price
Ford Fusion,41,"$23,625.00 "
Ford Focus,36,"$18,100.00 "
Ford Edge,30,"$29,595.00 "
Ford Flex,23,"$30,605.00 "
Ford Explorer ,24,"$31,995.00 "
Ford Expedition ,21,"$46,630.00 "
Ford Escape,29,"$24,485.00 "
Chevrolet Impala,31,"$27,970.00 "
Chevrolet Malibu,37,"$21,625.00 "
Chevrolet Suburban ,23,"$50,895.00 "
Chevrolet Tahoe ,23,"$48,195.00 "
Chevrolet Trax,34,"$21,195.00 "
Chevrolet Equinox,31,"$23,495.00 "
Chevrolet Sonic,33,"$15,220.00 "
Chevrolet Camaro z/28,19,"$73,300.00 "
Chevrolet Volt,45,"$33,995.00 "
Chevrolet Bolt ,42,"$37,495.00 "
Chevrolet Traverse ,22,"$29,595.00 "
Lexus IS,33,"$38,300.00 "
Lexus LS,24,"$73,495.00 "
Lexus LX,18,"$89,855.00 "
Lexus GX,18,"$51,755.00 "
Lexus CT ,40,"$32,225.00 "
Lexus RX,27,"$42,875.00 "
Lexus RC F,25,"$63,780.00 "
Toyota Highlander,28,"$31,430.00 "
Toyota 4Runner,22,"$34,010.00 "
Toyota Land Cruiser,18,"$83,825.00 "
Toyota Sequoia,17,"$44,965.00 "
Toyota RAV4,30,"$24,350.00 "
Toyota RAV4 Hybrid,31,"$28,370.00 "
Subaru WRX,28,"$27,390.00 "
Subaru Impreza,37,"$18,295.00 "
Subary Legacy,36,"$21,745.00 "
Subaru Forester,32,"$22,395.00 "
Subaru Crosstrek,34,"$21,595.00 "
Subaru Outback,33,"$24,995.00 "
BMW 3-Series Sedan,35,"$34,145.00 "
BMW 4-Series Gran Coupe,32,"$48,945.00 "
BMW 5-Series Sedan,38,"$51,195.00 "
BMW 6-Series Coupe,25,"$78,295.00 "
BMW 7-Series Sedan,29,"$82,295.00 "
BMW X3,26,"$46,025.00 "
BMW X5,24,"$55,695.00 "
BMW X6,27,"$61,595.00 "
Acura ILX,36,"$28,840.00 "
Acura TLX,31,"$32,635.00 "
Acura RLX,31,"$51,890.00 "
Acura RDX ,28,"$36,310.00 "
Acura MDX,26,"$43,955.00 "
