Year,Gender,Days,Hours,Genre,Platform,Where
Junior,Female,7 days,5,Hip-Hop/Rap;Country;Pop,Spotify;Youtube,Car
Junior,Male,7 days,4,Hip-Hop/Rap;EDM,Soundcloud;Youtube;Tidal,Room
Junior,Female,7 days,5,Hip-Hop/Rap;EDM;Pop,Spotify,Gym
Sophomore,Male,5 days,2,Hip-Hop/Rap;Rock,Spotify;Soundcloud,Car
Freshman,Male,4 days,3,EDM;Indie,Soundcloud,Walking
Senior,Male,7 days,2,Rock;EDM;Country,Apple Music;Youtube,Room
Sophomore,Female,6 days,4,Rock,Youtube,Room
Junior,Male,7 days,4,Hip-Hop/Rap;Country,Soundcloud;Youtube;iTunes,Car
Sophomore,Male,6 days,1,Hip-Hop/Rap;EDM;Pop,Spotify;Soundcloud;Youtube,Room
Freshman,Male,3 days,3,Hip-Hop/Rap;EDM,Youtube;Tidal,Gym
Sophomore,Male,3 days,6,Hip-Hop/Rap;Classical,Youtube,Car
Junior,Female,7 days,3,Hip-Hop/Rap,Spotify,Gym
Junior,Male,7 days,5,Country,Apple Music,Gym
Junior,Female,3 days,3,Country;Pop,Spotify;Apple Music,Room
Freshman,Male,3 days,5,Hip-Hop/Rap;Country;Pop,Spotify;Youtube,Shower
Sophomore,Female,6 days,3,Pop,Spotify;Apple Music,Gym
Sophomore,Female,5 days,2,Country,Spotify,Gym
Freshman,Female,5 days,3,Hip-Hop/Rap;Indie;Classical,Spotify;Youtube;Radio;iTunes,Car
Junior,Male,6 days,2,Country,Soundcloud,Gym
Sophomore,Male,4 days,4,Country,Spotify,Gym
Junior,Male,7 days,1,Country,Radio,Room
Junior,Male,7 days,2,Hip-Hop/Rap;EDM;Country;Pop,Spotify;Soundcloud;Youtube;Radio,Car
Sophomore,Prefer not to say,7 days,4,Hip-Hop/Rap;Rock;EDM;Country;Pop;Classical,Spotify;Soundcloud;Youtube;Radio,Car
Sophomore,Female,7 days,1,Pop,Apple Music;iTunes,Room
Sophomore,Female,6 days,2,Hip-Hop/Rap;Country;Pop,Spotify;Youtube;iTunes,Room
Junior,Female,7 days,2,Hip-Hop/Rap;Country;Pop,Apple Music,Room
Junior,Female,7 days,7,Hip-Hop/Rap;Country;Pop;Classical,Spotify,Room
Junior,Female,7 days,1,Hip-Hop/Rap;Pop,Spotify,Shower
Junior,Female,7 days,2,Hip-Hop/Rap;Rock;Pop,Apple Music,Car
Senior,Female,4 days,1,Rock;Pop,Apple Music,Car
Senior,Female,4 days,1,EDM;Pop,Apple Music,Gym
Freshman,Female,7 days,3,Hip-Hop/Rap;Rock;Country;Indie;Pop;Musical Theater;Classical,Spotify;Youtube;Radio,Room
Sophomore,Male,7 days,4,Hip-Hop/Rap;Rock;Indie;Pop;Classical;Jazz,Spotify;Youtube;Radio,Everywhere 
Sophomore,Female,4 days,2,Hip-Hop/Rap;EDM;Country;Pop;Classical,Spotify;Youtube,Gym
Freshman,Female,3 days,1,Pop;Musical Theater,Spotify;Radio;iTunes,Car
Freshman,Female,6 days,4,Pop;Musical Theater;Classical,Spotify;Apple Music;Youtube;iTunes,Room
Sophomore,Female,7 days,10,Hip-Hop/Rap;Indie;Pop,Spotify;Soundcloud;iTunes,Walking
Junior,Male,7 days,7,Hip-Hop/Rap;Pop;R&B,Spotify;Apple Music;Soundcloud;Youtube,Room
Sophomore,Female,7 days,2,Musical Theater,Spotify;Youtube;iTunes,Gym
Sophomore,Female,7 days,2,Musical Theater,Spotify;Youtube;iTunes,Gym
Sophomore,Female,7 days,2,Pop,Apple Music,Room
Sophomore,Female,7 days,2,Country;Indie;Pop;Musical Theater,Spotify,Room
Freshman,Female,7 days,2,Hip-Hop/Rap;Rock;Country;Indie;Pop;Classical,Spotify;Youtube;Radio,Gym
Junior,Female,7 days,1,Hip-Hop/Rap;Pop,Spotify,Shower
Freshman,Female,7 days,3,Rock;Indie;Pop;Musical Theater;Classical,Spotify;Youtube;Radio,Car
Senior,Male,7 days,4,Hip-Hop/Rap;EDM;Pop,Apple Music,Gym
Junior,Male,6 days,5,Hip-Hop/Rap;Rock;EDM;Pop,Spotify;Apple Music;Soundcloud,Gym
Sophomore,Male,7 days,4,Country;Pop,Apple Music;Youtube,Room
Junior,Male,7 days,3,Rock;EDM;Country,Spotify;Soundcloud;Youtube;Radio,Car
Senior,Female,6 days,3,Country;Pop,Spotify;Radio,Walking
Freshman,Male,7 days,5,Hip-Hop/Rap;EDM,Apple Music;Youtube;Tidal,Room
Junior,Male,5 days,2,Hip-Hop/Rap,Apple Music,Room
